time_s,imp_IMP_MYUSM_L1,imp_IMP_MYUSM_R1,imp_IMP_MYUSM_L2,imp_IMP_MYUSM_R2,imp_IMP_FS_L1,imp_IMP_FS_R1,imp_IMP_FS_L2,imp_IMP_FS_R2,exp_AVy_L1,exp_AVy_R1,exp_AVy_L2,exp_AVy_R2,exp_Fz_L1,exp_Fz_R1,exp_Fz_L2,exp_Fz_R2,exp_CmpS_L1,exp_CmpS_R1,exp_CmpS_L2,exp_CmpS_R2,exp_Vz_Wc_L1,exp_Vz_Wc_R1,exp_Vz_Wc_L2,exp_Vz_Wc_R2,exp_Xo,exp_Vx,exp_Roll_E,exp_Pitch,exp_X_L1,exp_X_R1,exp_X_L2,exp_X_R2
0.032,0,0,0,0,0,0,0,0,13.2625987,13.2631473,13.2683756,13.2693339,22416.1021,22412.0876,21225.9712,21226.2163,53.5930199,53.5851945,50.606757,50.6068861,-0.0129726187,-0.0120256483,-0.0131417004,-0.0132199561,100.024481,2.79602752,1.77918258e-05,-0.262928924,100.022503,100.022748,96.1224708,96.1224717
0.0325,0,0,0,0,0,0,0,0,13.2608527,13.2615168,13.2665612,13.2675573,22416.111,22412.1057,21226.0056,21226.2587,53.5929786,53.5851667,50.606775,50.6069088,-0.0128035841,-0.0119068003,-0.0131768862,-0.0132564394,100.02487,2.7959651,1.84047337e-05,-0.262931033,100.022891,100.023136,96.1228592,96.12286
0.033,0,0,0,0,0,0,0,0,13.2605307,13.261319,13.266083,13.267119,22416.1126,22412.1221,21226.0435,21226.3049,53.5929451,53.5851437,50.6067887,50.6069272,-0.012634446,-0.0117895783,-0.013208248,-0.0132891653,100.025258,2.79589508,1.90290048e-05,-0.262933155,100.023279,100.023524,96.1232475,96.1232484
0.0335,0,0,0,0,0,0,0,0,13.2616257,13.2625453,13.2669368,13.2680147,22416.1066,22412.1363,21226.0844,21226.3542,53.5929201,53.585126,50.6067978,50.6069412,-0.0124675457,-0.0116757506,-0.013235382,-0.0133177291,100.025647,2.79581751,1.96647661e-05,-0.262935267,100.023667,100.023911,96.1236358,96.1236368
0.034,0,0,0,0,0,0,0,0,13.2641101,13.2651659,13.2690983,13.27022,22416.0929,22412.1482,21226.1281,21226.4064,53.5929036,53.5851137,50.6068022,50.6069505,-0.0123051515,-0.0115670628,-0.0132579453,-0.013341787,100.026035,2.79573254,2.0312145e-05,-0.262937348,100.024055,100.024299,96.1240241,96.1240251
0.0345,0,0,0,0,0,0,0,0,13.2679353,13.2691307,13.2725243,13.2736916,22416.0713,22412.1573,21226.1738,21226.4608,53.5928958,53.585107,50.6068019,50.6069552,-0.0121494317,-0.011465207,-0.0132756619,-0.0133610611,100.026423,2.79564043,2.09712694e-05,-0.262939378,100.024442,100.024687,96.1244124,96.1244134
0.035,0,0,0,0,0,0,0,0,13.2730334,13.2743697,13.277153,13.2783673,22416.0418,22412.1635,21226.2212,21226.5171,53.5928969,53.585106,50.6067967,50.6069551,-0.0120024273,-0.011371792,-0.0132883256,-0.0133753434,100.026812,2.79554154,2.16422673e-05,-0.262941336,100.02483,100.025075,96.1248007,96.1248017
0.0355,0,0,0,0,0,0,0,0,13.2793177,13.2807945,13.282905,13.2841677,22416.0044,22412.1666,21226.2697,21226.5746,53.5929067,53.5851105,50.6067868,50.6069504,-0.0118660258,-0.011288316,-0.0132958036,-0.0133844993,100.0272,2.79543634,2.23252665e-05,-0.262943206,100.025218,100.025462,96.125189,96.12519
0.036,0,0,0,0,0,0,0,0,13.2866843,13.2882994,13.2896845,13.2909968,22415.9593,22412.1665,21226.3188,21226.6329,53.592925,53.5851205,50.6067724,50.6069412,-0.0117419365,-0.0112161423,-0.0132980385,-0.0133884688,100.027588,2.79532539,2.30203946e-05,-0.262944971,100.025606,100.02585,96.1255772,96.1255783
0.0365,0,0,0,0,0,0,0,0,13.2950134,13.2967631,13.2973812,13.298744,22415.9067,22412.1632,21226.3679,21226.6913,53.5929516,53.5851358,50.6067536,50.6069278,-0.0116316698,-0.0111564743,-0.0132950493,-0.0133872681,100.027976,2.79520934,2.37277788e-05,-0.262946615,100.025994,100.026238,96.1259654,96.1259666
